,tweet
340,The answer to the question I asked in February is Donohoe is now Deputy Director of the Andrews Labor govt’s media unit
341,What a surprise  https://twittercom/TimSmithMP/status/1232959269101662208 … pictwittercom/sYtD9JHQA2
342,Can I remind everyone that no one plays politics or the person more aggressively and nastily than Chairman Dan This is the bloke who went out every day in Opposition and accused the Liberals of killing people
343,But it’s great you’re focusing on issues that are impacting the lives of Victoria’s small business owners and their staff even if it’s because of my tweets Trying to get you lot to question Daniel Andrews requires more effort than usual at the moment
344,You had a sook about what I said on sunriseon7 but instead of whingeing about my language why don’t you ask this Labor govt why the rules are much harsher here than NSW? Why can’t cafes open for patrons ? What would Andrews know about the financial viability of restaurants?
345,In Victoria with control freak wowsers like Dictator Dan running the show you can’t even sit down for a coffee let alone a beer Our Premier is such a friendless loser of course Victoria has no plans to reopen licensed venueswho would invite Lurch for a drink?danhasnomates pictwittercom/rFGqJbGx9i
346,The Andrews Labor Government has an unhealthy and sycophantic relationship with the Chinese Communist Party Labor’s Belt and Road deal against dfat advice undermines 🇦🇺 national security https://twittercom/rachelbaxendale/status/1260431299107606528 …
347,Shame on you timpallas Your  obsequiousness to the Chinese Communist Regime is disgusting Whilst the Chinese Communist Regime is behaving so repugnantly the Treasurer of Victoria is trying to suck up to themhow embarrassing for our country 🇦🇺🤦🏻‍♂️ https://wwwtheagecomau/national/victoria/pallas-has-a-pop-at-federal-government-over-vilification-of-china-20200513-p54sj6html …
348,Against dfat advice Chairman Dan signed a secret dodgy agreement with the Chinese Communist Government He is a sellout to Australia 🇦🇺 and Labor’s sleazy Belt and Road deal is a national security risk https://twittercom/CUhlmann/status/1260392559731306496 …
349,Daniel Andrews will inflict at least another month of inconvenience on Victorian parents with the majority of students not welcome in class until 9 June pictwittercom/vvZgJV4UIR
350, pictwittercom/aBLEKGAzIT
351,You say you’re an academic You’re clearly not overly bright You do understand the role of the opposition in a parliamentary democracyto oppose the government ask them questionshold them to account? Or are you just another Marxist academic who hates centre-right politicians?
352,What a farce springst https://twittercom/rachelbaxendale/status/1260018526883966977 …
353,Dan could’ve let anxious parents and kids know this on FridayOr on Sunday after the leak to Media_Matt by someone in his own team Or yesterday But he’s strung it out for days until the polling became catastrophic Start putting Victorians first and your ego second Chairman
354,After doing the school run how will parents have time to home school their other children who aren’t allowed to attend school ? Has any genius thought this through ? How will these parents get any of their own work done in the morning ?
355,Daniel Andrews has split families with children in years prep-2 3-10 or 11-12Can you imagine the mayhem in families where parents have to take a grade 2 student to school whilst keeping a grade 4 home ?How will the grade 4 student start home schooling on time ?
356,Can everyone see how Chairman Dan and his deputy chihuahua are shamelessly manipulating this crisis?Andrews chooses the morning he faces questioning by PAEC on handling of Cedar Meats to announce a return to schoolwhich he could have made yesterday  should have made weeks ago
357,I reckon most parents found looking at the Premier smirking on qanda highly irritating as he refused to disclose what his plans are to get their kids back in the classroom Now a panicked press conference at 7:45AM will Andrews give parents hope or more relentless negativity?
358,Thanks 110 followers
359,qanda I never watch this program - but lockdown does weird things to all of us - our smirking Premier is making a schmuck of himself
360,Well said Mattas you saidDaniel Andrews is playing politics with your livelihood The National Cabinet agreed to allow 10 patrons in cafes/restaurants around Australia 🇦🇺 but Daniel Andrews said no for VictoriaWe need to lift Chairman Dan’s ban on the Victorian economy https://twittercom/9NewsMelb/status/1259757001502011392 …
361,Daniel Andrews is sabotaging cafes and restaurants in Victoria He has no plans to allow them to open for 3 weeks He should look to the example of SA Premier marshall_steven Andrews has never had a job in the private sector he doesn’t have a clue about small business https://twittercom/marshall_steven/status/1259684629981696001 …
362,What would Chairman Dan know about running a cafe or restaurant? It’s a matter for them if they are viable or not with 10 patrons Andrews says cafes and restaurants will remain shut for another three and half weeks in Vic but in NSW they open this week https://wwwtheaustraliancomau/commentary/coronavirus-australia-victorian-premier-daniel-andrews-must-shed-his-nanny-state-skin/news-story/c754784251c9d158af1d001a119aa6c7 …
363,Still there pictwittercom/10QjB2746D
364,FDR  Curtin are legends my tweet was about Churchill becoming PM which guaranteed the fight against Germany continued If Halifax had become PM the appeasers would have won and the UK and Commonwealth probably would have sought a negotiated truce with Hitler
365,Hate to break it to you but in 1940 when the UK  the Commonwealth was on its own in the fight against Hitler as Churchill became PM the United States was neutral and in Australia Labor wouldn’t form government until 1941
366,Looking forward to speaking with DeeDeeDunleavy on 3AW693 after 1pm 
367,The LM wouldn’t have a clue what’s going on Hopeless 😩
368,No absolutely not as I said during an interview with sunriseon7 this morning
369,Today is the 80th anniversary of the English speaking peoples’ great rallying cry to save the world God Bless Winston Churchill he saved us all https://twittercom/COLRICHARDKEMP/status/1259457547632771073 …
370,Looking forward to talking to Mon and Matt on sunriseon7 very soon 
371,👏👏👏👏👏👏👏👏
372,Victory Victory at all costs—Victory in spite of all terror—Victory however long and hard the road may be for without victory there is no survival Today is 75 years since the unconditional surrender of Nazi Germany Thousands of 🇦🇺 died fighting Hitler Lest We Forget pictwittercom/qEevbJ7Wfq
373, pictwittercom/5D1771iyuE
374,Queensland calling itself the ‘smart state’ was slightly laughable until todayThey seem to have a plan for easing restrictions and to give some clarity for businessesSchool is going back too In Victoria we have Chairman Dan who told us- I won’t tell you ‘till Monday🤦🏻‍♂️🤬 https://twittercom/AnnastaciaMP/status/1258610123179569157 …
375,Chairman Dan is a fear mongering doomsday propagandist Today he simply refused to tell Victorians how we can live our lives in a Covid-normal stateThe arrogance of the man is breathtaking Even the dunce up in Queensland had enough sense to let them know what’s going on https://twittercom/7NewsMelbourne/status/1258669710997991427 …
376,LordMayorMelb must explain this Catherine Deveny  Clementine Ford given💰by cityofmelbourne is disgraceful How much did they get? Deveny described ANZAC Day as ‘f**** disgustingTrojan Horse for racismsexismtoxic masculinity violencehomophobia  discrimination’ https://twittercom/theheraldsun/status/1258517111678177280 …
377,🦠expert Prof CollignonPeter told 3AWNeilMitchell this morning;“it seems to me the NZ  Victorian approach when you’ve got low transmission hasn’t been more successful than other states who have been more with what was put in place in mid-March to late March in Australia”
378,DanielAndrewsMP keeps comparing Victoria to 🦠 worst-case overseas Australia’s borders have been closed since 20 MarchHe should be comparing Vic to other 🇦🇺 states where we have similar results Why are the laws different in Vic as the rest of 🇦🇺 starts to reopen?
379,You went a bit early there KosSamaras looks like a bigger sample than your fake focus groups Not good for Chairman DanVictorians don’t like living under a nonsensical dictatorship https://twittercom/tminear/status/1258004221493784576 …
380,The Morrison Government is doing an awesome job for Team Australia 🇦🇺 I thank you for your contribution in ably assisting with their re-election last year Good on you mate and stay safe
381,Yes ?
382,You’ve attacked two Liberal MPs in the last week I wonder if that’s the view of GWSGIANTS ? Or is your outrage confected or otherwise a self-appointed position?
383,I would have agreed with you a month ago but given the inconsistency in CHO’s advice I believe he has questions to answer but particularly the Deputy CHO who has shown her political bias - I note she retweeted this in January pictwittercom/eYQnlaStG4
384,Ouch 🥬
385,Not in Victoria We will be locked away for quite sometime I would have thought Businesses will continue to be destroyed We are governed by DanielAndrewsMP a fear mongering doomsday propagandist  advised by green left activists like Deputy CHO Dr Van Diemen https://twittercom/7NewsAustralia/status/1257949538851028997 …
386,The hopeless JennyMikakos controversial CHO and green left activist Deputy CHO have had a shocker here They should be investigated https://twittercom/rwillingham/status/1257802434270728192 …
387,Malicious story telling from Daniel Andrews they’ve used a + Coronavirus diagnosis of one teacher to justify their doomsday propaganda They dropped this tale of woe after DanTehanWannon gave them a legitimate spray This state Labor govt are the lowest of the low
388,A disgraceful whitewash by Kym Peake and the Andrews Labor Govt annaliesevd tweets also include her retweeting attacks on the Morrison Government in January of this year whilst Deputy CHO How is this acceptable VicGovDHHS ? Van Diemen should be sacked  https://twittercom/rwillingham/status/1257507525676556288 … pictwittercom/YR8MT8GL73
389,This morning ?
390,Why won’t Daniel Andrews reprimand this green left activist annaliesevd ? Why hasn’t she deleted her partisan political tweets whilst Deputy CHO? She should resign https://www3awcomau/deputy-health-chief-deletes-twitter-app-gets-schooled-on-social-media/ …
391,annaliesevd still has not apologised or deleted her tweet - she must go https://twittercom/alexwhitelive/status/1257457002302844930 …
392,That’s not the position of the Chief Medical Officer or Deputy Chief Medical Officer of Australia It’s safe for children to attend school https://wwwgooglecomau/amp/s/ampheraldsuncomau/news/opinion/nick-coatsworth-why-opening-schools-is-essential-for-victorians-health/news-story/a926c7693d137aa390a44357a200e293 …
393,Do nothing rwynnemp Labor's Planning Minister promised to fix these apartments months ago but nothing’s been done to get rid of 🔥 cladding Because of COVID19 the govt is ordering everyone to stay homebut what if your home is a death trap? Dick help these residents https://twittercom/9NewsMelb/status/1256859867945590784 …
394,Can’t be much of an historian Cook’s voyages were an extraordinary achievement  helped scientific discovery The settlement of 🇦🇺 wasn’t decided by Captain Cook - he died in 1779 - and the Colony of New South Wales was founded 9 years after his death by Capt Arthur Phillip
395,Spot on DanTehanWannon - Daniel Andrews has politicised the National Cabinet and ignored the advice of the AHPPC and Prof Brendan MurphyInstead Andrews is relying on hand picked left wing activists in Victoria like Deputy Chief Health Officer annaliesevd https://twittercom/sclark_melbs/status/1256726823183855616 …
396,Medical experts who aren’t left wing activists such as the Deputy CHO in Victoria https://twittercom/sclark_melbs/status/1256726384140890112 …
397,Perhaps this is the reason Victorian kids aren’t going back to school Victoria’s Deputy CHO annaliesevd retweeted that “Morrison or his dickhead MP mates”No wonder Victoria is the ‘doomsday state’ when the Deputy CHO retweets attacks on ScottMorrisonMP  LiberalAus MPs pictwittercom/U3j7AOqgPC
398,Powerful op-ed in today’s theheraldsun by 🇦🇺Deputy Chief Medical Officer Nick Coatsworth “it is clear this intervention school closures can cause harm” and “damage society”“We need to trust the evidence that says it is safe for our children to be taught at school” pictwittercom/nRRf9Zw9lM
399,Great piece from fergusonjw - he’s right More people will die from a hard recession than the virus 🦠 in VictoriaAndrews has no plans to rebuild our economy as we start the reconstruction behind with far harsher restrictions than the rest of 🇦🇺 https://wwwtheaustraliancomau/commentary/emerging-fault-lines-between-scott-morrison-and-daniel-andrews-widened-by-captain-cook-tweet/news-story/104064dd682007b6e741fa6e89a0994f …
400,Still running on abcmelbourne radio news  I can’t be that wrong can I or are you upset about bats 🦇?
401,The overt political bias of the Deputy CHO who is making decisions to prolong punitive measures that apply only to Victoria might be of interest to abcmelbourne or are you so trusting of the state govt that you don’t think we need to ask why the rules are so much harsher here?
402,Your abcmelbourne radio news led with it at 10am and 2nd story at 9am it was on the front page of theheraldsun theage  australian  seems like a big story - wouldn’t you agree ?
403,It’s on the front page of theheraldsun theage australian 
404,Is anyone going to push Andrews on the biggest issue of the day why won’t the Deputy CHO apologise why won’t Andrews reprimand her ? Does he agree with her statement ? She must go https://twittercom/3AW693/status/1255994027314307072 …
405,So that’s Labor’s excuse  annaliesevd day off ? https://twittercom/SimoLove/status/1255994091084460032 …
406,Bagging Captain Cook and equating him to a virus 🦠 probably won’t bring us together - still no apology from annaliesevd  the Deputy CHO should be sacked https://twittercom/SimoLove/status/1255986666537279488 …
407,Victorian Deputy Chief Health Officer anti-Cook comments are 'a disgrace' | Sky News Australia https://wwwskynewscomau/details/_6153103064001 …
408,Than anywhere else in 🇦🇺 You’d assume she would just think 🤔 whilst I’m locking people in their houses and stopping their kids from going to school after closing their business down I won’t equate Captain Cook to a virus that’s globally killed 200000 + people
409,Never before in our history have medical officers had more power over Victorian lives Public confidence in the impartiality and evidence base of her advice is an absolute prerequisite for us all to maintain support for these drastic decisions that are far more onerous in Vic
410,Cook’s voyages were an extraordinary achievement and helped scientific discovery enormously You do realise the settlement of 🇦🇺 wasn’t decided by Captain Cook - he died in 1779 - and the Colony of New South Wales was founded 9 years after his death by Captain Arthur Phillip ?
411,How dumb are Karl and Twiggy who don’t seem to understand why the very presence of Chinese Communist officials on Commonwealth property whilst gatecrashing a federal Minister’s press conference is a big deal How tone deaf are these people? I hope CUhlmann was watching https://twittercom/TheTodayShow/status/1255612619362381824 …
412,Would Mr Clueless like to jump in the hole and let us all know what’s it’s like ?
413,About to join Nicole Chvastek on ABC Statewide Drive abcnews
414, pictwittercom/iV7vZTJfDP
415,Let me be very clearThe state govt must stop taking its advice from AEUVictoria  start listening to AHPPC  Australia’s CMO Brendan MurphyVictorianCHO is a member of the AHPPC - the highest health advisory committee in 🇦🇺- which says it’s safe for kids to attend school https://twittercom/JamesMerlinoMP/status/1254194204353245184 …
416,Lest We Forget AnzacAtHome AnzacDay2020 pictwittercom/z7dXbeydY5
417,Tomorrow on AnzacDay2020 we remember the over 100000 Australians who have died in all wars We give thanks for 🇦🇺 We give thanks for our freedoms And we give thanks we are living in the safest and greatest country in the world Lest we forget 🇦🇺 pictwittercom/tsIkO3xk9S
418,Umm 🤔 What the ?
419,You’re a good man Jim stay safe
420,Geez mate that’s a bit reserved for you he’s a complete creep A loser He’s a very bad man who hopefully will go to gaol
421, https://twittercom/VictoriaPolice/status/1253121080958599168 … pictwittercom/ZNhYpSVOqp
422,What a stupid  reckless comment from the Education MinisterI remind him what CMO of 🇦🇺 Brendan Murphy said:”We're concerned our governments are keeping schools closed not from a health recommendation but almost because of parental fear and some reaction in local governments” https://twittercom/SimoLove/status/1253099137374941184 …
423,Horrendous news My thoughts are with the families of the police officers whose lives have been lost in the line of duty https://twittercom/theheraldsun/status/1252885630553485312 …
424,Who wouldn’t like an extra year for free but is the LM seriously suggesting Victorian councils won’t be in a position to hold a postal election by the last Saturday in October 2020 ? This sounds like a crass power grab for an extra year in office without facing the people  https://twittercom/heidimur/status/1252741360156676099 …
425,Rudd and Turnbull have both been appalling Vindictive shocking humans carrying on like pork chops Wish they’d both sod off
426,Clearly Malcolm isn’t or certainly wasn’t
427,fergusonjw writes a good piece in australian about 🦇 Bat-borne viruses that could kill off Koalas 🐨  🦇 Bats are dangerous creatures that carry shocking viruses 🦠 https://wwwtheaustraliancomau/news/batborne-viruses-a-deadly-threat-to-koalas/news-story/46414d893f0f36ea768b11a77ae993d8 …
428,Absolutely appalled to watch the Premier of NSW on 4corners conspire with Daniel Andrews who doesn’t understand the private sector at all who between them threatened to close 90 of their economies Thank God for ScottMorrisonMP and JoshFrydenberg who walked them back
429,Turnbull called some of his former colleagues terrorists What a complete disgrace I started tonight thinking the idea of booting a former PM out of the Liberal Party unconscionable now I am not so sure https://twittercom/jeff_kennett/status/1252177108899528705 …
430,I suspect that’s a question better directed at you  ?
431,People and bats 🦇 don’t mix and my constituents in Kew want these bats moved away now https://twittercom/9NewsMelb/status/1251786822692331520 …
432,For all my constituents in Kew who raised with me the issues of filthy 🦇 and the diseases they spread note your Upper House Labor MP couldn’t care lessFor Chinese officials close down the wet markets in Wuhan where 🦇 are sold and then consumed It’s appalling https://twittercom/NinaTaylorMP/status/1251823512391520257 …
433,Victorians have lost their jobs parents are trying to manage home schooling while they workthere’s no elective surgery  they even tried a bonking banWe’re all trying to survive this pandemic by doing the right thing but surely we can ask why different rules apply in Vic ?
434,I don’t play golf but do other states have a lower regard for human life because they allow golf and fishing to continue? It’s ok in fact it’s vital to subject those making these decisions to some scrutinyWhy aren’t you asking these important questions too?
435,Prof Murphy and the AHPPC publish their advice at  http://healthgovau  Why did Dr Sutton agree with the AHPPC that it’s safe for children to attend school and then tweet the opposite? Why did he then backflip on his backflip ? Why is the advice different in Victoria? pictwittercom/IFWrkak0st
436,This was never just about golf This is about an un-elected official having huge control over our lives and making decisions that are inconsistent with the rest of 🇦🇺 Victorians have a right to ask questions and not be shouted down given huge sacrifices people are making
437,Thanks VictorianCHO for admitting on 3AW693 tonight that Victoria’s golf ban “isn’t based on science” If not science then why is a Victorian golf course a risk to life but every other 🇦🇺 course isn’t?
438,As the son of a proud Croweater I’m pleased to say your Governor is an awesome example to the whole Nation
439,Mate seriously that’s one of your children isn’t it ?
440,You could have blown me down with a feather 
441,So get your bloke Sutton to detail why various harmless activities can’t be undertaken in Victoria Is it because of the cooler weather here ? No it’s because the Premier of Victoria is a strange man with a tendency to bully those who report to him
442,What a completely stupid comment - I’m referring to other Australian jurisdictions
443,Omg 
444,No I’m actually disgusted someone like you who isn’t questioning the bullshit we are being told by Daniel Andrews and his CHO Why won’t they release the advice and science ? It’s not about golf it’s an  example of the punitive rules in Victoria that exist nowhere else in 🇦🇺
445,Sorry mate Andrews just backflipped again he’s banned golf again
446,I’d be happy to do “as the Chief Health Officer says” but because no other state has the same ridiculous rules as Victoria I naturally question this decree Provide the evidence and we might believe that Dr Sutton is providing independent advice not sprouting Dan’s decrees https://twittercom/ShingvWorld/status/1251082339460866050 …
447,Oh for goodness sake get him to provide his evidence  not sprout Daniel’s lines We all know when under pressure Daniel becomes quite the bully 
448,We don’t care about your views we want to know about the science that underpins your advice Show us your evidence as to why various individual sporting pursuits are banned in Victoria but no other state in Australia ? Or are your ‘views’ what Daniel or Jenny told you to say ? https://twittercom/VictorianCHO/status/1251075354187362305 …
449, https://wwwheraldsuncomau/coronavirus/end-in-sight-for-ivf-ban-as-hope-resumes-for-elective-surgeries/news-story/b9e3948bdb8488af185ba35a22fbc3dd …
450,Many many positions by the Andrews government on golf - has the ban been lifted as reported by s_deery or has it not ? How the hell can Victorians follow the rules if bureaucrats staffers and ministers have no idea ? This is becoming really embarrassing for Daniel Andrews 🤦🏻‍♂️ https://twittercom/bridgerollo/status/1251049621494759425 …
451, https://wwwheraldsuncomau/coronavirus/end-in-sight-for-ivf-ban-as-hope-resumes-for-elective-surgeries/news-story/b9e3948bdb8488af185ba35a22fbc3dd …
452,We live in a democracy - it’s my constitutional obligation as an opposition MP to ask the government that is ruling by decree why is golf banned in the state of Victoria but in no other Australian jurisdiction? Why won’t the govt release the science justifying their decision?
453,Mate I respect your opinion but seriously no other health officer in Australia has banned golf or fishing if social distance is observed Why won’t the chief health officer in Victoria release the science or modelling as to why it must be like this south of the Murray River?
454,Victoria’s Covid directions make it clear that you can go for a walk with another person if social distance is observed As Winston Churchill said “golf spoils a good walk” so what’s the difference ? pictwittercom/MJlZnCHXXM
455,Yeah fair call mate - his bans on fishing golf  and originally bonking were just nuts
456,Why won’t Victoria’s Chief Health Officer Dr Sutton and his minder Daniel Andrews disclose to us all the science and modelling that shows the epidemiology of why golf with social distancing is banned south of the Murray River but perfectly fine in Albury ?
457,Good on you Sam Totally agree with you why is golf banned in Victoria but nowhere else in 🇦🇺 ? 🤷‍♂️ https://twittercom/Origsmartassam/status/1250609792541835270 …
458, https://twittercom/AndieHamblin/status/1250625425849479168 … pictwittercom/YXWIV1TQmh
459,A terrifically well written account It must have been horrendous to have had this virus and be so far from home - so happy you beat it Stay safe https://twittercom/BevanShields/status/1250688190098419712 …
460,So you should be May his memory be a blessing🇬🇧🇮🇱
461,God bless him
462,May their memory be a blessing 🇬🇧🇮🇱
463,As Churchill said in 1940 quoting  Maccabees “Arm yourselves and be ye men of valour  be in readiness for the conflict; for it is better for us to perish in battle than to look upon the outrage of our nation and our altar As the Will of God is in Heaven even so let it be”
464,Mate you’ve had more positions on this issue today than the Kama Sutra 🧘‍♂️🤦🏻‍♂️ https://twittercom/VictorianCHO/status/1250358646019518466 …
465,Well said JoshFrydenberg - it is completely disgraceful the WHO supports the ongoing trade at the Wuhan wet markets The WHO must call on Chinese authorities to close these barbaric and disgusting wet markets that started this pandemic https://twittercom/9NewsMelb/status/1250336966391914499 …
466,I would have thought given that Daniel Andrews is ruling by decree parliament hasn’t sat for weeks and some police have confused our democracy with Soviet Russia a bit of opposition to the state government might be in the public interest
467,You are contradicting your federal counterpart Prof Murphy why ? Release your modelling and science and we will judge for ourselves the merits of your advice and this decision of the Victorian Government regarding remote learning https://twittercom/VictorianCHO/status/1250297818939453445 …
468,The Premier is clearly wrong Not all schools are open for kids who can’t learn from home He needs to fix this now https://twittercom/AshArgoon/status/1250251321405370368 …
469,This is good We have been calling on the state government to do this for weeks JewelTopsfield ClayLucas JMasanauskas https://twittercom/AdemSomyurek/status/1250231038430740483 …
470,My thoughts are with all the parents and guardians who are trying to assist with home schooling no doubt it must be really difficult particularly if the online platforms aren’t working I hope all students can persevere through this difficult situation https://twittercom/s_deery/status/1250222141791846401 …
471,This is a complete farce  I’m sure online platforms are working somewhere for learning at home but I’m hearing of massive problems all over Victoria  https://twittercom/3AW693/status/1250221447433224192 …
472,Phil sorry to quote tweet you now that you are retired from politics but you illustrate my pointThe Vic govt should be listening to the Fed CMO and open the schoolsMany schools aren’t ready and for some students term 2 will be a complete write off https://twittercom/philipdalidakis/status/1250209585782128640 …
473,As I said earlier the Victorian government should be listening to federal CMO Brendan Murphy regarding sending children to school Term 2 will be a write off for many students https://twittercom/PatsKarvelas/status/1250203697092505600 …
474,healthgovau Chief Medical Officer Brendan Murphy
475,Victoria should listen to the medical advice from federal CMO Brendan Murphy that it’s safe for kids to go to school Thousands of Victorian students have parents who are not in a position to home school themYou might as well write off term 2no one will learn a thing https://twittercom/theheraldsun/status/1250200448977571844 …
476,Good https://twittercom/JMasanauskas/status/1250186423963009025 …
477,If this is true we need a full explanation from DanielAndrewsMP and VictoriaPolice if people were maintaining social distance whilst putting flowers on graves then this would appear an appalling injustice https://twittercom/tonytardio/status/1249293219990360065 …
478,Happy Easter 🐣 ✝️ from my family to yours during these most unusual and difficult times pictwittercom/D8eFUW2Isw
479,Happy Passover to Australia’s Jewish ✡️ community and to my Jewish friends all over the world during these challenging times Stay safe and well everyone pictwittercom/FMYTyyKpSZ
480,The High Court smashed the Victorian criminal justice system to pieces how humiliating What planet is Daniel Andrews on? All Victorians should be concerned about the processes of justice in our state https://twittercom/SimoLove/status/1247690681033707521 …
481,Dick Wynne has sat on this dodgy planning application for two years and has cowardly released it when he thinks he can avoid any questioning https://amptheagecomau/national/victoria/planning-minister-rejects-controversial-casey-rezoning-20200406-p54hl2html?__twitter_impression=true …
482,Is the reason Dick Wynne didn’t reject this amendment outright back in 2018 because of the hundreds of thousands of dollars dodgy developer John Woodman gave to Labor in the lead up to the 2018 election?  https://amptheagecomau/national/victoria/planning-minister-rejects-controversial-casey-rezoning-20200406-p54hl2html?__twitter_impression=true …
483,Really looking forward to talking with DeeDeeDunleavy on 3AW693 after 1pm 
484,This sounds like ridiculous over reaction How can it be a danger to others if two members of the same household drive together and don’t interact with anyone else ? The state government needs to yet again clarify their rules https://twittercom/heidimur/status/1246939141008326656 …
485,That really is a low blow You really think I went to St Kevin’s 
486,Lol 😂 did you say that to old mate JulianBurnside ? And before you ask and trust me no one can get a word in with you so I’ll say it here GideonCRozner is wrong but there are aspects of the rules in Victoria that are silly how can fishing on your own endanger lives ?
487,No
488,They finally get almost what they voted for in 1933 - secession from the Commonwealth of 🇦🇺
489,Jaala how on earth is fishing whilst maintaining a safe social distance a danger to other people ? How is walking on a beach whilst maintaining 15m distance to others dangerous ? https://twittercom/JaalaPulford/status/1245265982458757120 …
490,These flogs should have the book thrown at them Media_Matt https://wwwheraldsuncomau/news/victoria/andrew-abercrombie-breaks-silence-on-infamous-aspen-coronavirus-ski-trip/news-story/509714164aebd34ff73c8c86a17a188a …
491,I’ve many mates who are currently locked inside their own homes They are abiding by the law after returning home from overseas But I hope the book is thrown at those flogs who thought they were above the law and didn’t self isolate when they got home https://wwwtheagecomau/national/victoria/flogs-victorian-mp-scathing-of-quarantine-breachers-20200401-p54g4xhtml …
492,Dan’s bonk ban has been lifted👇😜 https://twittercom/s_deery/status/1245229295951204352 …
493,"Well said GregHuntMP - “Some people think that the laws and even more importantly the notion of socially responsible behaviour does not apply to them  In my view that's a disgrace  The police should feel free to throw the book at them""   https://wwwtheagecomau/national/victoria/throw-the-book-at-them-health-minister-addresses-aspen-controversy-20200331-p54frdhtml …"
494,Thanks
495,When ?
496,Thank you for the retweet this transcends party affiliations
497,Geez mate what’s going on here ?
498,I wonder if these dickheads realise they are pushing the state government into locking all of us in our houses literally like home detention because these tools wanted a day at the beach Wake up Victoria - treat this disease seriously https://twittercom/7NewsMelbourne/status/1243768313412378626 …
499,Sorry to hear about Dennis mate my condolences to your family Catch up soon
500,drewginn
501,Get well soon Boris 🇦🇺🇬🇧 https://twittercom/BorisJohnson/status/1243496858095411200 …
502,It would be good if Andrews actually enforced the rules now - many were found not to be at home when they were meant to be self-isolating and they weren’t charged irresponsible
503,Congratulations to Kew High School Principal Clare Entwisle who is retiring after 36 years at the school - 21 were as Principal Clare's magnificent contribution to the success of the school and her students has been tremendous Congrats Clare and all best for the future pictwittercom/Ep9THSy3Ri
504,Daniel Andrews why aren’t all these people charged with breaking self isolation rules ?What’s the point of moving to tighter restrictions destroying more businesses if your government won’t enforce the law now ? https://twittercom/9NewsMelb/status/1243071713086234624 …
505,Daniel Andrews is considering going to stage 3 restrictions a total lockdown What’s the point if your own police officers aren’t charging people for breaking self-isolation rules NOW? The state government need to enforce the law IT WILL SAVE LIVES https://www9newscomau/national/coronavirus-victoria-police-self-isolation-spot-checks-find-seven-people-in-potential-breach/746417e2-a13a-4888-aba8-f603061e5e9e?ocid=Social-9NewsM …
506,Victoria Police has revealed seven people were not home during the random COVID-19 self-isolation spot checks conducted by officers todayBut no one has been charged
507,Kev can you shut up mate? Little bit going on at the moment and no one wants to hear from you about the politics of yesteryear Kev fair shake of the sauce bottle please be constructive or please sod off https://twittercom/MrKRudd/status/1243007299871891456 …
508,Simon Olive and the staff of AnytimeFitness Kew are doing their  bit to stop the spread of Covid-19 This gym has closed We all need to do our bit If you can stay at home Practice social distancing Wash your hands Together we can defeat this disease🦠 🇦🇺🇦🇺🇦🇺 pictwittercom/crSY6qjwCr
509,Good benwyatt is a great bloke and an outstanding MP Chose the wrong party but no one is perfect At this time of crisis we needs guys like Ben in public life https://twittercom/westaustralian/status/1242064277906894848 …
510,Looking forward to talking with DeeDeeDunleavy on 3AW693 very soon
511,I heard you praising Daniel Andrews this morning; you  mjrowland68 should be talking about the genuine panic confusion  stress Andrew’s unilateral statement yesterday has caused business owners  their staff over the last 24 hours All angles of this story are important
512,Any response from Daniel Andrews ? Where is his list ? Is it different from the National Cabinet resolution ? He’s causing mass panic in Victoria
513,We really really need some clarity from the state government in Victoria Businesses large and small are completely confused
514,So the question I’m being asked tonight will the Victorian Government list of non-essential services to close - that Andrews will announce tomorrow - be the same as the list the PM announced tonight ?
515,Yes but JoshFrydenberg announced a $175 billion stimulus package - with another on the way - Andrews has not announced any support for business unlike every other govt in 🇦🇺so Andrews is at odds with advice to invest and the actions of every other state govt 
516,Well said marshall_steven - please everyone just calm down This virus 🦠 is a challenge but it can and will be managed by the collective efforts of the Australian people https://twittercom/9NewsAdel/status/1240093528413196289 …
517,Despite every other state government - Labor or Liberal spending big on stimulus? https://twittercom/SimoLove/status/1240108314530201601 …
518,Tasmania http://wwwpremiertasgovau/releases/investing_to_sustain_a_strong_economy_and_local_jobs …
519,WA - 2 days ago pictwittercom/fccyNct1Zo
520,South Australia  https://wwwpremiersagovau/news/media-releases/news/unprecedented-response-and-economic-stimulus-to-drive-sa-jobs-economy-in-wake-of-bushfires-coronavirus2 …
521,Queensland http://statementsqldgovau/Statement/2020/2/18/2725-million-coronavirus-aid-package …
522,NSW https://wwwnswgovau/your-government/the-premier/media-releases-from-the-premier/2-3-billion-health-boost-and-economic-stimulus/ …
523,Unbelievably the City of Melbourne is providing more stimulus to small business during the COVID-19 crisis than the state Labor government Victoria is the only state in 🇦🇺without a stimulus packageThe Andrews govt must start helping businesses who are doing it so tough https://twittercom/ClayLucas/status/1240069588689141761 …
524,Unbelievably the City of Melbourne is providing more stimulus to small business during the COVID-19 crisis than the state Labor government Victoria the only state in 🇦🇺without a stimulus packageThe Andrews govt must start helping businesses who are doing it so tough https://twittercom/ArronWood/status/1239852516482793473 …
525,Well said themercurycomau awesome 👏 front page https://twittercom/JennaCairney1/status/1239861023118516226 …
526,Congratulations to the Carmelites and the Kew Festival for another terrific service celebrating that  there is always more that unites us than divides us particularly during these difficult times Great to see felicity4cotham and phillip_healey pictwittercom/opy6bxjeCs
